AÑO_INICIO,NOMBRE,LAT,LNG,DESCRIPCION,ENTORNO,MONTO_CONTRATO,ETAPA,TIPO,COMUNA,JURISDICCION,MANO_OBRA,PORCENTAJE_AVANCE,ID,ETAPA_DETALLE,AREA_RESPONSABLE,BARRIO,CALLE_1,SECCION,MANZANA,PARCELA,DIRECCION,FECHA_INICIO,FECHA_FIN,PLAZO_MESES,IMAGEN_1,IMAGEN_2,IMAGEN_3,IMAGEN_4,LICITACION_OFERTA_EMPRESA,LICITACION_ANIO,BENEFICIARIOS,COMPROMISO,LINK_INTERNO,PLIEGO_DESCARGA,
2019,Obra 126 AMPLIACION REFACCION Y REFUNCIONALIZACION DE LA ESC.ADAN QUIROGA,-31.236021576315122330905798468,-69.004196325314759986789973383,,ARQUITECTURA,20611454.23,En ejecución,EDIFICIOS EDUCATIVOS,,Albardon,,59.33,3113,40.En Ejecución,Dirección de Infraestructura Escolar,,,,,,,02/05/2019,10/06/2020,14,,,,,VALDIVIESO Y DEBANDI  S.R.L.,2018,,,,,
2019,Obra 122 RESIDENCIA TRANSITORIA HOSPITAL DR. MARCIAL QUIROGA,-30.674519872676245846786132552,-69.382977714491605374830839862,,ARQUITECTURA,15599619.89,En ejecución,EDIFICIOS PARA LA SALUD,,Rivadavia,,64.88,3118,40.En Ejecución,Dirección de Arquitectura,,,,,,,01/03/2019,24/02/2020,12,,,,,C.G.C. CONSTRUCCIONES  S.R.L.,2018,,,,,
2019,Obra 164 ESCUELA AGROINDUSTRIAL VIDELA CUELLO,-30.243992307243442151036271967,-67.655837161671700606596253736,,ARQUITECTURA,15205868,En ejecución,EDIFICIOS EDUCATIVOS,,Jachal,,55.3,3177,40.En Ejecución,Dirección de Infraestructura Escolar,,,,,,,02/09/2019,29/04/2020,8,,,,,PM CONSTRUCCIONES  S.R.L.,2019,,,,,
2019,Obra 90 CONTINUACIÓN DE LA OBRA B° SARMIENTO - CONJUNTO 6 - 30 VIV. - DPTO. SARMIENTO,-31.174607888696059502131678869,-68.061236974208579029785083798,,VIVIENDA/HABITAT,15182650.23,En ejecución,VIVIENDA NUEVA,,Colonia Fiscal,,97.79,3062,40.En Ejecución,Instituto Provincial de la Vivienda,,,,,,,02/01/2019,29/10/2019,10,,,,,VALDIVIESO Y DEBANDI  S.R.L.,2019,,,,,
2019,Obra 196 ILUMINACION SECTOR EMBARCADERO AREA PRESA EMBALSE QUEBRADA DE ULLUM. AT-I,-30.838571438163130319316765147,-67.58141022022220258744355315,,ENERGIA,12403751.67,Finalizada,DISTRIBUCION ELECTRICA,,Ullum,,100,3186,70.Finalizado,Dirección de Recursos Energéticos,,,,,,,28/10/2019,27/12/2019,2,,,,,SERGIO CHICONI  S.R.L.,2019,,,,,
2019,Obra 166 Extensión Red de Gas Natural de Media Presión. Zonas Faltantes Lote Hogar 20 y 34,-31.38275321540701806416674862,-69.580853119574532050680181075,,ENERGIA,7300000,En ejecución,DISTRIBUCION DE GAS,,La Bebida,,94.03,3178,40.En Ejecución,Dirección Provincial de Redes de Gas,,,,,,,27/05/2019,22/01/2020,8,,,,,REGALADO BENITEZ. CARLOS ADOLFO,2018,,,,,
2019,Obra 215 CONSTRUCCIÒN PLAYÒN POLIDEPORTIVO ESCUELA PRESIDENTE JULIO ARGENTINO ROCA - DEPARTAMENTO CAUCETE,-30.129979065243350606204748605,-68.321453916272670376436258473,,ARQUITECTURA,6778281.59,En ejecución,EDIFICIOS EDUCATIVOS,,Marayes,,22.18,3225,40.En Ejecución,Dirección de Infraestructura Escolar,,,,,,,02/12/2019,30/05/2020,6,,,,,LUCERO WIDMER. RICARDO MIGUEL,2019,,,,,
2019,Obra 155 REFACCIONES VARIAS SOCIEDAD FRANKLIN BIBLIOTECA POPULAR,-31.832312219294055199087561553,-69.494704620399847120629786425,,ARQUITECTURA,5300420.43,Finalizada,INRAESTRUCTURA RECREATIVA Y CULTURAL,,Capital,,100,3169,70.Finalizado,Dirección de Arquitectura,,,,,,,18/06/2019,25/12/2019,6,,,,,OBRASCOM  S.R.L.,2019,,,,,
2019,Obra 135 B° RIVADAVIA - CONJUNTO 7 - 110 VIV. - DPTO. RIVADAVIA - ADICIONAL REJAS,-29.610731567231287555784707146,-68.136015663263515154319709491,,VIVIENDA/HABITAT,4926256.8,Finalizada,MEJORAMIENTO DE VIVIENDAS,,Rivadavia,,100,3072,70.Finalizado,Instituto Provincial de la Vivienda,,,,,,,01/03/2019,30/04/2019,2,,,,,CICON  S.R.L.,2018,,,,,
2019,Obra 237 B° 27 DE DICIEMBRE - 84 VIV. - DPTO. 25 DE MAYO - ADICIONAL DEPRESIÓN DE NAPA Y BOMBEO,-30.901156378674471261108794048,-68.90725577627192054229581154,,VIVIENDA/HABITAT,4904838.73,En ejecución,OBRAS D EINFRAESTRUCTURA Y COMPLEMENTARIAS,,25 de Mayo,,0,3269,40.En Ejecución,Instituto Provincial de la Vivienda,,,,,,,07/11/2019,04/06/2020,7,,,,,BILBAO CONSTRUCCIONES  S.R.L.,2018,,,,,
